GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024-04-13T16:54:03.426042+00:00,G21,15762715.421717478,1922416.2492206,21850880.26713152,21700957.938045815,46.6
2024-04-13T16:54:03.426042+00:00,G27,23093479.739063855,13304141.700064404,-3052417.2393488893,22222000.638953988,37.7
2024-04-13T16:54:03.426042+00:00,G32,7785005.791112124,17839627.22171527,18371545.97300297,21301464.647464257,53.0
2024-04-13T16:54:03.426042+00:00,G28,5166872.455341283,25830604.807504833,-3425060.4950496177,23749196.827447318,37.6
2024-04-13T16:54:04.426042+00:00,G02,14638728.919240192,-4847237.6075517675,22091548.404200222,22743281.638094712,40.6
2024-04-13T16:54:04.426042+00:00,G03,23136686.324133255,-12050378.389299233,4480870.487158765,24082898.72781927,33.3
2024-04-13T16:54:04.426042+00:00,G08,25034615.434089027,4792279.569551212,8099936.18902268,21201126.105065793,48.8
2024-04-13T16:54:04.426042+00:00,G10,-1647884.1384708295,17345011.59797103,20154748.979625728,22844568.195769623,35.5
2024-04-13T16:54:04.426042+00:00,G21,15763154.962819258,1925035.6721563232,21850420.439693544,21700644.357155878,47.1
2024-04-13T16:54:04.426042+00:00,G27,23093064.394592736,13304205.29262755,-3055537.73092246,22222578.93848823,37.0
2024-04-13T16:54:04.426042+00:00,G32,7782882.290049539,17838778.55453945,18373269.91895387,21301748.52747012,50.9
2024-04-13T16:54:04.426042+00:00,G28,5166644.340142408,25831064.628384877,-3421922.883878019,23748722.875000533,28.9
2024-04-13T16:54:05.426042+00:00,G02,14639184.01047993,-4844586.153698297,22091861.964962825,22742806.784712285,42.4
2024-04-13T16:54:05.426042+00:00,G03,23136319.95464987,-12049869.44328255,4484037.074050822,24082401.961394086,28.8
2024-04-13T16:54:05.426042+00:00,G08,25035457.67028075,4792926.939613238,8097030.683842309,21201336.59654499,48.3
2024-04-13T16:54:05.426042+00:00,G10,-1650021.239859582,17346345.153169386,20153381.690698475,22844945.328580283,38.6
2024-04-13T16:54:05.426042+00:00,G21,15763594.651015686,1927655.0022833468,21849960.170340065,21700331.090369858,47.1
2024-04-13T16:54:05.426042+00:00,G27,23092648.705317385,13304268.741807353,-3058658.159407793,22223155.14399635,36.9
2024-04-13T16:54:05.426042+00:00,G32,7780758.544763921,17837929.921107687,18374993.482977856,21302023.158860575,47.4
2024-04-13T16:54:05.426042+00:00,G28,5166416.209577881,25831524.07055034,-3418785.1999707487,23748253.703913413,28.4
2024-04-13T16:54:06.426042+00:00,G02,14639639.26790801,-4841934.693339231,22092175.07540923,22742340.90074177,42.6
2024-04-13T16:54:06.426042+00:00,G03,23135953.285145532,-12049360.248937242,4487203.564018726,24081954.09047901,36.1
2024-04-13T16:54:06.426042+00:00,G08,25036299.612343542,4793574.1124719,8094125.009961625,21201551.241176,47.7
2024-04-13T16:54:06.426042+00:00,G10,-1652158.1205929779,17347678.746584505,20152013.977051865,22845345.25137531,38.9
2024-04-13T16:54:06.426042+00:00,G21,15764034.486288777,1930274.2395391357,21849499.459084313,21700018.416891243,45.9
2024-04-13T16:54:06.426042+00:00,G27,23092232.671216357,13304332.047655428,-3061778.5248035104,22223723.217702996,35.5
